k,SPk
0.10517726173678678,0.9972308962811942
0.1107500474396633,0.9972308962811942
0.11901631348352819,0.9964773284471857
0.12685666477194632,0.9961779658829905
0.13646171328416382,0.995290201037446
0.14722098766097266,0.9948953521381196
0.15900364772048448,0.9939017781104028
0.17087578965931907,0.9933985393171436
0.18120906528373307,0.9933985393171436
0.1952567267456754,0.9928901391003638
0.20828632902026875,0.9919662442901752
0.22531705101189373,0.9903532994399855
0.24527079333856092,0.9900384526052285
0.2667443795978718,0.9871274097396061
0.2879487246602753,0.9856202740715889
0.313747407819136,0.9826472941237192
0.34020100270459747,0.9799117396577975
0.36782439502521247,0.9762393868228858
0.39691480837908594,0.9741180417559163
0.4297991501825328,0.9720173423830292
0.46803727147978236,0.9691604944643732
0.5147817628684975,0.9667449482567292
0.548254218343522,0.9633951843918552
0.589234341986335,0.9587266768174662
0.6432011839304018,0.9556014348757387
0.683156814749255,0.9503961392552065
0.7441590686508682,0.9479986580298846
0.8041396786191215,0.944251464553924
0.8602954580227314,0.9397687682262768
0.9336958074219645,0.9359157655681436
1.0250205614538515,0.9333815066195256
1.105727189423984,0.9294588247438643
1.2209806604537905,0.9266432682133732
1.3063112617866168,0.9219334692508193
1.4000921043524102,0.9182843428217502
1.5016203261170673,0.9106712431288548
1.5913906479682813,0.9071717979818834
1.6921956430065506,0.9012903558801517
1.8096875618165975,0.894090170068905
1.9157151661906533,0.8886809982193088
2.087353115459177,0.8848383184082169
2.259667614718671,0.8767994012748715
2.3865552615134225,0.8730134971225063
2.573368909913232,0.8680946605073678
2.74646639611772,0.8624506438875841
2.929813155522037,0.855774342563679
3.081188646246233,0.848367699811608
3.223230604783984,0.8388474541278483
3.3867121077347133,0.8315311362873881
3.5575054117443696,0.8269529536246096
3.762731173767904,0.8229270432785362
3.916138088560967,0.8177940075872925
4.13293631038428,0.8139074556762754
4.453552179333564,0.8080079485922217
4.6519824948457416,0.8013445508271181
4.766825872531121,0.7963792614002941
4.899570355664067,0.7935998348344473
