x,y
0.10568825362850817,1.000137771338387
0.11058817895241126,1.00042301622209
0.11717139826750556,1.0010051486378102
0.12489581726653823,1.0008363302372514
0.13554186857772538,1.0008363302372514
0.1471036820027303,1.0008363302372514
0.16047343686641605,1.0011215751209541
0.17403752173859355,1.0027321414711132
0.18920653996195969,1.0031396341621175
0.20515686093567695,1.0031396341621175
0.2254163292220156,1.0036480298051798
0.24695093825412426,1.0036480298051798
0.26793035510709734,1.0039332746888825
0.29125015978991414,1.0039332746888825
0.32151336663866065,1.0034035341905772
0.3451860200090231,1.0034035341905772
0.37738111034773986,1.0034035341905772
0.4172682720418353,1.0032347157900183
0.4515434889274822,1.0030930635688597
0.5450764340593361,1.0025439186566971
0.4930739237134189,1.0015931023776874
0.5932874583645128,1.0006248221262064
0.6487080612794561,0.9993538330185505
0.7131843317846651,0.9979101446275647
0.7693468128296018,0.9966139297818943
0.8166182428899222,0.9955272826058834
0.8997777685104316,0.9944406354298725
0.9691751723806782,0.9923177925538795
1.0480359079216381,0.9897544694833251
1.1326742862778627,0.9869117228532249
1.2370839160451668,0.9828678430053556
1.3136875446360006,0.9792139918760188
1.4043258302990236,0.9743473648805981
1.476191049626301,0.9703248298879719
1.5729750969325071,0.9657861374867402
1.676262232754541,0.9612183384647228
1.794040613121815,0.9567708468086207
1.9032705102732757,0.9500879666761533
1.9974359296237094,0.945605547075108
2.122519150814406,0.9428462394245944
2.260275576530294,0.9372810535303098
2.386511000191991,0.9334467413520995
2.5717848411104143,0.9288634187989961
2.7472621043710266,0.9253298750355747
2.9202891690556707,0.9224890688468603
3.122891018664534,0.9180008279216578
3.3344659650405295,0.9137939509973868
3.550680241015792,0.9096297637836019
3.7467289329659916,0.9073245194173502
4.091562839018088,0.9022541460764275
4.322675268454114,0.9001138392279631
4.569505115868809,0.8968422550516157
4.764214364311505,0.895177356342656
