10231176063802.395, 0.3075874129073797
12074964318317.81, 0.3163256834863459
15794692173411.416, 0.32989062333329827
20542584725605.52, 0.3489373484983612
27807934671431.773, 0.36646221878201546
40545293323143.39, 0.393068912249429
54261440021455.46, 0.40991044252191783
73873104811015.22, 0.43971792087738654
96629929466051.89, 0.4618264077088121
128582285656921.08, 0.49893992562213946
167234186543111.78, 0.546727784694836
212590289976590.25, 0.594894814496074
276495039962650.4, 0.6564961009895148
361670140677777.9, 0.7296076711063196
478520716581956.06, 0.8051372796571514
658959253207657.8, 0.9269115811552705
852159896108093.4, 1.0229021324313856
1011492761407730.1, 1.1210317062842008
