x,y
0.1054758112336937,0.9985116814571421
0.1146970626962904,0.9960337378075599
0.12418853987862097,0.9964160047605496
0.13396825068561238,0.9958707407311582
0.14507083548091945,0.9958707407311582
0.15812494368147026,0.9958707407311582
0.17835121090305098,0.9937595405034798
0.19463047486122256,0.9937595405034798
0.21765189889444894,0.9923391374091226
0.24097806270645847,0.9896128172621665
0.2610226751356178,0.983929264443352
0.28761989114044156,0.9810438281027658
0.31729698132687373,0.9774229644769863
0.34700833153835303,0.974225117073297
0.3878053974414825,0.9686308245582262
0.4267912645480918,0.9641173578950092
0.4840795536588609,0.9563788776487024
0.5380799571144783,0.9505633748156581
0.5960607622793247,0.9460246824144265
0.6641996266772976,0.9392292566815865
0.7337669724587138,0.9321621691547437
0.7992382494882476,0.9261273964451113
0.8869098755878025,0.9188488008072235
0.9914803390040619,0.9094085534656283
1.0898204104749394,0.9037851543297716
1.2041931098168774,0.8983829655118885
1.3237057913965373,0.892363716333342
1.4254242909646901,0.8862784921476805
1.5877151145740143,0.8828982432537321
1.7854584030763614,0.876512250653282
2.061933940700411,0.8691055858839357
2.3603570121176194,0.8648831854285788
2.636619584247991,0.858582572249101
2.952369891854956,0.8554099505834261
3.3864089046308092,0.8520685105171923
3.7978024393401775,0.8475395203228895
4.213923034095045,0.8429057462937569
4.625440371355254,0.8383146619751106
4.860955015236216,0.8372163721507853
